user_id,tweet,party,is_retweet,is_democrat,hashtags,clean_tweet,sentiment
76452765,"On Joe Biden's first day in the Oval Office, he signed legislation to roll back President Trump's immigration policies and energy policies. Is there anyone who can say, with a serious face, that these ""rollbacks"" have made either of those issues better? https://t.co/ZeDA5qphlj",R,0,0,,joe bidens first day oval office signed legislation roll back president trump immigration policy energy policy anyone say serious face `` rollback '' made either issue,-0.027777777777777773
76452765,"I was sorry to hear of the passing of longtime caregiver of Leo the Lion, Anne Howard at @north_alabama .  Just last year, Mrs. Anne gave me, and two members of the British Parliament who were touring the area, a tour of Leo's facilities at UNA. My prayers go out to her family. https://t.co/MR06Q4yVah",R,0,0,,sorry hear passing longtime caregiver leo lion anne howard alabama last year mr anne gave two member british parliament touring area tour leo facility una prayer go,-0.16666666666666666
76452765,RT @1819News: U.S. Rep. Robert Aderholt (R-Haleyville) recently took to the House floor to speak in support of a new bill aimed at helping…,R,1,0,,u rep robert aderholt r-haleyville recently took house floor speak support new bill aimed,0.06818181818181818
76452765,I’m sorry to hear of Anthony’s passing. He frequently interacted with my staff and me on issues impacting the safety of DeKalb County. He will be greatly missed. DeKalb County Homeland Security EMA Director Anthony Clifton passes away  via WAAY 31 News https://t.co/QccxCD5hQg,R,0,0,,im sorry hear anthony passing frequently interacted staff issue impacting safety dekalb county greatly missed dekalb county homeland security ema director anthony clifton pass away via waay 31,0.13333333333333333
76452765,"H.R. 6914 Pregnant Students’ Rights Act: College and Universities must do more for students who are pregnant, other than encouraging, either overtly or subtly, to have an abortion. https://t.co/6dGP2KiPnw",R,0,0,,hr 6914 pregnant student right act college university must student pregnant encouraging either overtly subtly,0.15476190476190477
76452765,Aderholt takes stand for gun owners against 'leftwing activists' in landmark NRA case - Yellowhammer News https://t.co/RGaQh6DDT5,R,0,0,,aderholt take stand gun owner leftwing activist landmark nra case - yellowhammer,0.0
76452765,I am unashamedly Pro-Life. That's why I am proud to have earned an A+ on @sbaprolife’s scorecard – we must continue to defend the lives of children in the womb and stand against the ever-growing pro-abortion agenda of the Biden-Harris administration. #WhyWeMarch https://t.co/dr9EtY7b71,R,0,0,['WhyWeMarch'],unashamedly pro-life thats proud earned scorecard – must continue defend life child womb stand ever-growing pro-abortion agenda biden-harris,0.15000000000000002
76452765,"I was proud to join this amicus brief led by @SenTedBuddNC  and @RepRichHudson . Gun owners and groups don't just have to defend our Second Amendment rights, but also our First Amendment rights from leftwing activists.
https://t.co/k1v7M8WVQu",R,0,0,,proud join amicus brief led gun owner group dont defend second amendment right also first amendment right leftwing,0.2702380952380952
76452765,"@tgregis68 Yes, several to help the states. Because keep in mind that in the United States, our elections are handled at the state level and not the federal level.",R,0,0,,yes several help state keep mind united state election handled state level federal,0.0
76452765,The US and Taiwan enjoy a close friendship and share interests. I look forward to the continuation of that relationship for many years to come.,R,0,0,,u taiwan enjoy close friendship share interest look forward continuation relationship many year,0.45
76452765,Congratulations to Taiwan on successfully completing Presidential and Parliamentary elections on Saturday. Proud to see the people of Taiwan showcase the values of democracy and rule of law through the free and fair elections.,R,0,0,,congratulation taiwan successfully completing presidential parliamentary election saturday proud see people taiwan showcase value democracy rule law free fair,0.6625000000000001
76452765,College football won’t be the same. You are the GOAT Coach Saban. Roll Tide. #rtr https://t.co/B4fUtG6G8L,R,0,0,['rtr'],college football wont goat coach saban roll,0.0
76452765,"If this is true, let me just say, thank you Coach Saban, for 17 great years! Roll Tide! https://t.co/wKqkMd5A6d",R,0,0,,true let say thank coach saban 17 great year roll,0.575
76452765,"RT @RepLisaMcClain: Can you imagine if any other American told a judge that they weren't complying with a subpoena?

Your last name doesn't…",R,1,0,,imagine american told judge werent complying subpoena last name,0.0
76452765,Aderholt Talks Mayorkas Impeachment &amp; Border Trip on Newsmax https://t.co/3MPB93j8rC via @YouTube,R,0,0,,aderholt talk mayorkas impeachment border trip newsmax,0.0
76452765,"RT @RepLaMalfa: A Chico Unified employee pressured a child to change her name and pronouns, dismissing the child's desire to talk to her pa…",R,1,0,,chico unified employee pressured child change name pronoun dismissing child desire talk,0.0
76452765,"RT @HomelandGOP: For nearly one year, @HomelandGOP has investigated Secretary Mayorkas' failure to uphold his oath of office and has found…",R,1,0,,nearly one year investigated secretary mayorkas failure uphold oath office,-0.10833333333333335
76452765,RT @GOP: The average price of a gallon of gas is more expensive today than at any point during the Trump administration. https://t.co/ziAsx…,R,1,0,,average price gallon gas expensive today point trump,-0.325
76452765,Thank you to all of our law enforcement officers across the Fourth Congressional District. #LawEnforcementAppreciationDay2024 https://t.co/CES79dYNYv,R,0,0,['LawEnforcementAppreciationDay2024'],thank law enforcement officer across fourth congressional,0.0
3018670151,"I'm proud to announce that the Inland Empire is receiving nearly $3 million for a water recycling, purification and storage program that will provide water for close to 10,000 residents per year!

Learn more ⬇️
https://t.co/DELRjumHKV",D,0,1,,im proud announce inland empire receiving nearly 3 million water recycling purification storage program provide water close 10000 resident per year learn,0.45
3018670151,"51 years ago, SCOTUS established a constitutional right to abortion.

I’m proud that California is an oasis for Reproductive Freedom, helping women from states like Texas get the care they need.

But make no mistake, Republicans won't stop until there’s a national abortion ban. https://t.co/KSjBP52i1r",D,0,1,,51 year ago scotus established constitutional right abortion im proud california oasis reproductive freedom helping woman state like texas get care need make mistake republican wont stop there national abortion,0.5428571428571429
3018670151,"One year ago today, 11 Monterey Park residents lost their lives in a shooting during what should have been a joyous Lunar New Year celebration. 

600+ more mass shootings later, House Republicans refuse to pass gun safety legislation. 

They’re not capabale of governing.",D,0,1,,one year ago today 11 monterey park resident lost life shooting joyous lunar new year celebration 600 mass shooting later house republican refuse pas gun safety legislation theyre capabale,0.06818181818181818
3018670151,"What a special moment for our community. San Bernardino is so proud of Jayden Daniels, our city’s first-ever Heisman Trophy winner!

The next parade will be with Jayden hoisting the Lombardi Trophy 🏆 https://t.co/B9xIn6M1uM",D,0,1,,special moment community san bernardino proud jayden daniel city first-ever heisman trophy winner next parade jayden hoisting lombardi trophy,0.2267857142857143
3018670151,"I just voted to avert a devastating government shutdown.

Under the Republican majority, this is the 3rd time @HouseDemocrats have provided the votes to keep the government open.

We are here to deliver for the American people, Republicans are here to cause chaos.",D,0,1,,voted avert devastating government shutdown republican majority 3rd time provided vote keep government open deliver american people republican cause,-0.25
3018670151,"Today, House Republicans put 2 bills on the House floor to:

❌ Fund anti-abortion centers that spread misinformation
❌ Limit resources and information for pregnant students

@HouseDemocrats will not stand for this. We will always defend reproductive freedom.",D,0,1,,today house republican put 2 bill house floor ❌ fund anti-abortion center spread misinformation ❌ limit resource information pregnant student stand always defend reproductive,0.11666666666666665
3018670151,"I joined my colleagues on both sides of the aisle to commemorate 100 days since Hamas' brutal attack on Oct. 7.

When it comes to the safety of the people of Israel, we must leave partisanship aside and remain steadfast in our support for our strongest ally in the Middle East. https://t.co/G0lK0Inw4p",D,0,1,,joined colleague side aisle commemorate 100 day since hamas brutal attack oct 7 come safety people israel must leave partisanship aside remain steadfast support strongest ally middle,-0.15833333333333333
3018670151,"Today, we honor Dr. Martin Luther King Jr., whose life and legacy inspire us to continue fighting for a more just and equal society for all. https://t.co/hOCQOZ1DGZ",D,0,1,,today honor dr martin luther king jr whose life legacy inspire u continue fighting equal,0.0
3018670151,"Thanks to @POTUS’ actions, more people are now eligible for student loan forgiveness!

Find out if you qualify 👇 https://t.co/mlIYLY8HJm",D,0,1,,thanks action people eligible student loan forgiveness find qualify,0.15000000000000002
3018670151,"Proud to join my colleagues in calling for a ban on high-capacity firearms and assault weapons. These weapons of war have no place in our streets.

House Republicans want Americans to “get over” mass shootings. @HouseDemocrats will never stop fighting to end gun violence. https://t.co/LLipJkZFgo",D,0,1,,proud join colleague calling ban high-capacity firearm assault weapon weapon war place street house republican want american “ get over ” mass shooting never stop fighting end gun,0.4
3018670151,"Instead of working to prevent millions of women and children from losing access to critical food assistance, House Republicans are choosing to waste our time on more baseless impeachments. 

https://t.co/fBmtzmrzLQ",D,0,1,,instead working prevent million woman child losing access critical food assistance house republican choosing waste time baseless,-0.1
3018670151,"It's #LawEnforcementAppreciationDay!

I am so grateful for the men and women who keep our community safe, and I'm proud to have delivered over half a million in federal funding last year to support our local law enforcement. https://t.co/KUeBToVjV6",D,0,1,['LawEnforcementAppreciationDay'],grateful men woman keep community safe im proud delivered half million federal funding last year support local law,0.22666666666666666
3018670151,"This was what the nation saw the morning of January 7, 2021. 

In the weeks that followed the attack, MAGA extremists spread lies and conspiracy theories to downplay what happened, but the work of the @January6thCmte proved that Donald Trump and his allies were responsible. https://t.co/sKum57fabd",D,0,1,,nation saw morning january 7 2021 week followed attack maga extremist spread lie conspiracy theory downplay happened work proved donald trump ally,0.0
3018670151,"January 6th is a solemn reminder that our democracy can’t be taken for granted and it’s our responsibility to defend it.

Today, we honor the officers who lost their lives and reaffirm our commitment to the rule of law.",D,0,1,,january 6th solemn reminder democracy cant taken granted responsibility defend today honor officer lost life reaffirm commitment rule,0.0
3018670151,"Last month, the U.S. economy gained 260,000 new jobs.

This is the longest stretch of unemployment below 4% in more than 50 years, and it's a direct result of @POTUS' and @HouseDemocrats' policies. https://t.co/FFWeBsoN1a",D,0,1,,last month u economy gained 260000 new job longest stretch unemployment 4 50 year direct result,0.07878787878787878
3018670151,"This ruling puts women’s lives at risk. 

I will continue fighting to restore reproductive rights nationwide so that every woman in the U.S. can access life-saving care. https://t.co/SXO4Ers5hW",D,0,1,,ruling put woman life risk continue fighting restore reproductive right nationwide every woman u access life-saving,0.2857142857142857
